Tipo de atividade,Data,Favorito,Título,Distância,Calorias,Tempo,FC Média,FC máxima,Training Effect Aeróbico,Cadência de corrida média,Cadência de corrida máxima,Velocidade média,Velocidade máxima,Ganho de elevação,Perda da elevação,Comprimento médio da passada,Proporção de média vertical,Oscilação vertical média,Training Stress Score®,Granularidade,Fluxo,Total de repetições,Total de conjuntos,Tempo de escalada,Tempo no fundo,Temp mínima,Intervalo de superfície,Descompressão,Tempo da melhor volta,Número de voltas,Temp máxima,Tempo em movimento,Duração,Elevação mínima,Elevação máxima
Corrida,2021-02-23 06:26:33,false,"Blumenau - 3 x 2km com intervalo 3min caminhando","9,27","548","01:01:33","163","188","4,3","144","171","6:38","4:44","10","14","1,02","0,0","0,0","0,0","0,0","0,0","--","--","1:01:33","0:00","0,0","0:00","Não","03:00.00","8","0,0","01:01:32","01:01:33","12","29"
Corrida,2021-02-21 06:36:56,false,"Ilhota Corrida","9,32","349","03:42:39","--","--","--","54","244","23:53","2:46","658","666","0,82","0,0","0,0","0,0","0,0","0,0","--","--","3:42:39","0:00","0,0","0:00","Não","05:16.08","10","0,0","01:55:57","03:42:39","218","805"
Corrida,2021-02-20 07:14:03,false,"Blumenau Corrida","14,01","1.011","01:33:35","169","186","5,0","147","180","6:41","4:44","224","233","1,02","0,0","0,0","0,0","0,0","0,0","--","--","1:33:35","0:00","0,0","0:00","Não","00:05.93","15","0,0","01:33:33","01:33:35","16","111"
Corrida,2021-02-18 06:37:03,false,"Blumenau - Run Workout","10,01","683","01:00:54","172","186","5,0","155","171","6:05","2:01","158","161","1,06","0,0","0,0","0,0","0,0","0,0","--","--","1:00:54","0:00","0,0","0:00","Não","00:03.16","2","0,0","01:00:35","01:00:54","-35","56"
Corrida,2021-02-16 18:01:02,false,"Blumenau - 4 x 1km com intervalo 3min caminhando","9,44","593","01:09:36","157","187","3,8","137","168","7:22","4:27","22","24","0,97","0,0","0,0","0,0","0,0","0,0","--","--","1:09:36","0:00","0,0","0:00","Não","03:00.00","11","0,0","01:07:23","01:09:36","9","26"
Corrida,2021-02-14 08:18:42,false,"Blumenau Corrida","12,52","960","01:27:17","174","188","5,0","143","170","6:58","5:25","259","240","1,00","0,0","0,0","0,0","0,0","0,0","--","--","1:27:17","0:00","0,0","0:00","Não","03:00.45","13","0,0","01:24:57","01:27:17","18","127"
Corrida,2021-02-11 06:38:53,false,"Blumenau - Run Workout","8,63","583","00:54:28","172","188","4,7","154","172","6:19","3:53","67","74","1,02","0,0","0,0","0,0","0,0","0,0","--","--","54:28","0:00","0,0","0:00","Não","06:57.48","2","0,0","00:54:20","00:54:28","9","49"
Corrida,2021-02-09 06:29:20,false,"Blumenau - 10 x 400 - intervalo 1 minuto","8,30","562","00:56:10","163","183","4,1","139","173","6:46","3:16","10","20","1,07","0,0","0,0","0,0","0,0","0,0","--","--","56:10","0:00","0,0","0:00","Não","00:02.67","23","0,0","00:47:22","00:56:10","9","26"
Corrida,2021-02-06 07:20:28,false,"Blumenau - Run Workout","10,01","697","01:06:23","168","181","4,5","146","171","6:38","3:11","126","126","1,04","0,0","0,0","0,0","0,0","0,0","--","--","1:06:23","0:00","0,0","0:00","Não","20:26.31","2","0,0","01:06:23","01:06:23","17","50"
Corrida,2021-02-02 06:34:54,false,"Blumenau - Run Workout","7,00","445","00:44:30","163","180","3,9","155","170","6:21","1:43","53","64","1,02","0,0","0,0","0,0","0,0","0,0","--","--","44:30","0:00","0,0","0:00","Não","00:03.29","2","0,0","00:44:30","00:44:30","9","49"
Corrida,2021-01-30 07:09:55,false,"Gaspar Corrida","16,73","1.528","02:43:39","168","201","5,0","102","173","9:47","4:41","870","691","0,97","0,0","0,0","0,0","0,0","0,0","--","--","2:43:39","0:00","0,0","0:00","Não","04:47.11","17","0,0","02:20:35","02:44:34","115","802"
Corrida,2021-01-28 06:33:35,false,"Blumenau - Run Workout","8,64","588","00:59:34","168","185","5,0","149","171","6:54","3:31","62","69","0,97","0,0","0,0","0,0","0,0","0,0","--","--","59:34","0:00","0,0","0:00","Não","07:55.08","2","0,0","00:58:39","00:59:34","9","49"
Corrida,2021-01-26 06:33:32,false,"Blumenau - Teste de 5km","8,36","523","01:01:25","164","190","5,0","140","173","7:21","3:53","18","23","1,04","0,0","0,0","0,0","0,0","0,0","--","--","1:01:25","0:00","0,0","0:00","Não","00:20.00","15","0,0","00:58:30","01:01:25","9","26"
Corrida,2021-01-23 07:17:01,false,"Blumenau - Teste de 1km SUBIDA","7,89","531","01:07:03","161","191","4,8","125","170","8:30","4:23","129","125","0,94","0,0","0,0","0,0","0,0","0,0","--","--","1:07:03","0:00","0,0","0:00","Não","00:20.00","15","0,0","01:02:59","01:07:03","9","138"
Corrida,2021-01-19 06:34:00,false,"Blumenau - Teste de 1km","6,52","353","00:53:29","147","192","3,9","130","186","8:12","2:42","14","16","0,90","0,0","0,0","0,0","0,0","0,0","--","--","53:29","0:00","0,0","0:00","Não","00:20.00","15","0,0","00:51:02","00:53:29","9","26"
